Feature,Run 0,Run 1,Run 2,Run 3,Run 4
difference_drive_petrol,7.454418340724356e-05,7.24588321459052e-05,3.529377233812969e-05,4.601397297832044e-05,9.268190924927033e-05
difference_drive_secondary,0.00015269796802297453,0.00016573214990800444,0.000186740746863312,0.00020113857557635395,0.00012230544996050252
drive_petrol.destination,0.0008185992961807775,0.0007493170916567093,0.0007630226065198364,0.0007234608266667442,0.0009039662702180484
PT_retail.origin,0.004562625229928119,0.004728870208438374,0.0043750165296577714,0.004625273514863082,0.00463246928961325
drive_retail.destination,0.0004643107670595503,0.0003811693169356589,0.00042251536247162047,0.0003699827926081367,0.0004986284023781318
Dist_from_Gls.origin,0.0059270547323119205,0.005993584397322782,0.0061456973282761895,0.0060416804897297505,0.006038151605520237
income_rate.destination,0.005083902297298382,0.0054862586545456615,0.005473408836651039,0.005248909840205318,0.005318388052384937
difference_drive_primary,2.313557808886202e-06,1.083496049436583e-06,-1.7870865804958669e-06,-1.8137027731901512e-06,2.5318006569019502e-06
Dist_from_Ed.origin,0.010339080952165403,0.01010326553600871,0.010028371586944695,0.009957550940541515,0.010170280014698219
PT_GP.destination,0.004005974662878886,0.0037190239628207555,0.0037741442951426674,0.0036682220694955747,0.004081977387954461
difference_drive_post,0.0001301354747790251,7.600203962832008e-05,5.8431643854550686e-05,5.606826177229074e-05,9.81465006465454e-05
difference_PT_GP,0.00017574118687646578,0.00015220575501306843,0.00010688468922670502,0.00011541766228240213,0.0001928810466929054
Dist_from_Gls.destination,0.0030353477018981723,0.0030439758487398327,0.003389637127669598,0.003256582277968989,0.003207928321522613
difference_employment_rate,9.486311666495606e-05,7.638341561877482e-05,4.174645615384609e-05,8.020883568427006e-05,7.102057044672261e-05
income_rate.origin,0.004683632425262263,0.0048469204458801984,0.004446581737519328,0.004619924066412762,0.004625832609796987
Distance,0.604832917888693,0.6091654801692254,0.6072530862482933,0.6068765054180816,0.6044394285749227
difference_drive_GP,0.0004812378555070218,0.0005172346956306972,0.0006363501437429697,0.0005796822921297906,0.0004547660105456153
drive_primary.origin,3.173481443186077e-07,1.8278808960880966e-06,-1.8599647866324176e-06,-1.7366058202572532e-07,5.848582879108832e-07
Stops,0.06680205726946664,0.06785220285079141,0.06682653566350116,0.06778844829499431,0.06670693065611333
