0,1,2,3,4,5
Key,Field,Field Name,Length,Position,Description
,1,UPDATE_MARKER,1,1-1,"In a ‘changes only’ update file, indicates whether the"
Y,2,RECORD_TYPE,2,2-3,Contains ‘SR’.
Y,3,CF_MKR,1,4-4,Either ‘C’ or ‘F’.  Used to determine the start and end
Y,4,RESTRICTION_CODE,2,5-6,Alphanumeric restriction code.
Y,5,TRAIN_NO,6,7-12,Train UID
Y,6,OUT_RET,1,13-13,"‘O’ or ‘R’, to indicate whether the restriction applies to"
,7,QUOTA_IND,1,14-14,‘Y’ or ‘N’.  Used with Train Restriction quota data
,8,SLEEPER_IND,1,15-15,‘Y’ or ‘N’ to indicate whether the restriction applies to
