0,1,2,3,4,5
Key,Field,Field Name,Length,Position,Description
Y,1,RECORD_TYPE,1,1-1,Contains ‘F’.
Y,2,FARE_TOC_ID,3,2-4,TOC identifier.  Used in Flow file to identify which TOC is
Y,3,TOC_ID,2,5-6,TOC identifier.  Used in CIF to identify the trains of a
,4,FARE_TOC_NAME,30,7-36,TOC name.
