0,1,2,3,4,5
Key,Field,Field Name,Length,Position,Description
,1,UPDATE_MARKER,1,1-1,"In a ‘changes only’ update file, indicates whether the"
Y,2,RECORD_TYPE,2,2-3,Contains ‘SD’.
Y,3,CF_MKR,1,4-4,Either ‘C’ or ‘F’.  Used to determine the start and end
Y,4,RESTRICTION_CODE,2,5-6,Alphanumeric restriction code.
Y,5,TRAIN_NO,6,7-12,Train UID.
Y,6,OUT_RET,1,13-13,"‘O’ or ‘R’, to indicate whether the restriction applies to"
Y,7,DATE_FROM,4,14-17,Date band start date (within the start date/end date of
Y,8,DATE_TO,4,18-21,Date band end date (within the start date/end date of
,9,DAYS,7,22-28,"A set of 7 markers each set to ‘Y’ or ‘N’, representing"
