0,1,2,3,4,5
Key,Field,Field Name,Length,Position,Description
,1,UPDATE_MARKER,1,1-1,"In a ‘changes only’ update file, indicates whether the"
Y,2,RECORD_TYPE,2,2-3,Contains ‘TT’.
Y,3,CF_MKR,1,4-4,Either ‘C’ or ‘F’.  Used to determine the start and end
Y,4,RESTRICTION_CODE,2,5-6,Alphanumeric restriction code.
Y,5,SEQUENCE_NO,4,7-10,Numeric sequence number.  Several time restrictions
Y,6,OUT_RET,1,11-11,"‘O’ or ‘R’, to indicate whether the restriction applies to"
Y,7,TOC_CODE,2,12-13,TOC code.  The time restriction only applies to trains
