Component 1,Component 2,Fare
0.5979378690967561,0.18593589562353674,2.7
0.5149307115912554,0.21180555505000276,4.0
-0.582613948132582,-0.47401578047576653,9.1
2.7035419756658254,1.5766013461528023,11.9
0.44720163946888986,0.026157144581054795,10.3
-1.744420973244065,-1.2963736696250516,10.7
0.6155911852231174,0.2549362079433466,11.0
2.3973141895318726,1.3042055380542918,10.5
-0.04847269525181105,-0.2180650238591685,10.1
0.9622414875093608,0.44101792335807655,9.0
0.022879275527992467,-0.13970590737894711,8.9
0.022879275527992467,-0.13970590737894711,9.8
1.6778014024086514,0.9446383232759876,12.7
-0.015832718195584274,-0.14032173185713312,12.8
-0.9056094633212809,-0.7537124936277287,13.3
0.37874008901229483,-0.04581243522127799,12.6
-0.5236361306644561,-0.5395741174659758,12.0
-0.4295948159139239,-0.4788314483104134,13.1
-1.5998070329597553,-1.1948880373782056,14.9
1.6218729285096865,0.8964046339473989,18.7
-1.4243361158363876,-1.125156051210735,13.1
0.7329398186135111,0.2478582315873667,17.9
0.9339126782541741,0.43653340312307076,18.7
-0.875217666205831,-0.7852125146629242,12.9
-1.1996230239918715,-0.885343144034137,12.7
0.15425034606379262,-0.14160747145218783,12.8
-0.5236361306644561,-0.5395741174659758,12.0
-0.13791371181640028,-0.2943874187689293,12.6
-0.1739023382952491,-0.2622607987354237,8.6
1.1568175902788371,0.47382786042700836,8.7
1.3594187987681614,0.7037640714355383,10.2
0.8800741986148013,0.34549181968156806,8.6
-0.8597194122157021,-0.6319009752007071,8.6
-1.086209969821119,-0.8575748333032018,11.4
0.9255629442202108,0.3772868458715252,10.2
-0.9918147827353399,-0.8470665591645083,10.6
0.3010901389746057,0.03196778400891426,11.3
-0.8138897470343265,-0.7313876549762502,14.9
0.921710735493342,0.46512625976669875,9.8
0.3010901389746057,0.03196778400891426,11.0
-1.0121782177259173,-0.8326472859186452,2.8
3.447884481187082,2.093896233471641,12.9
1.0099759147327727,0.5324267585761441,8.3
-2.1333495547512036,-1.185816751931556,8.3
-0.770626040969948,-0.575072585966507,14.9
0.6891430967319687,0.24453270031794083,11.9
0.1305573779335961,-0.11708573084132408,13.8
0.06922784412843082,-0.15527181952731184,10.2
-1.543508311028102,-1.2224536739173477,11.1
-0.6199489040597188,-0.6124464993621145,4.4
1.8603799418684497,0.9371360053933939,10.4
1.8213158467191548,1.0515370847472962,5.1
1.0099759147327727,0.5324267585761441,8.3
4.163845058810541,2.6425596562396945,14.9
-0.45773782590902046,-0.4684679505596535,14.2
-1.2626974809036249,-1.0521985420530267,11.5
-2.614625890807724,-1.550176365456106,8.3
0.6289330666678709,0.16322977297895877,10.5
4.137671490434868,2.576582909803936,12.1
-2.161886529646468,-1.4930787764135693,12.1
-2.161886529646468,-1.4930787764135693,12.1
-1.709226274207848,-1.2697525415455522,13.4
-1.694662926815745,-1.236990518696949,13.4
0.2180233588816111,-0.0956990915767684,12.1
5.696042225504787,3.7006860060490707,14.9
0.27671129719117643,0.09789068785218402,12.1
5.045326924033066,3.148946102963388,11.9
0.9606018859333333,0.4014600540988979,14.9
-1.577040600642489,-1.1792337859999622,14.9
-2.257636284428109,-1.5801061353518846,11.9
-1.4406653569520016,-1.0173875783807353,12.1
-1.4010900306229646,-1.0151733591404162,13.4
-0.2667927489987134,-0.35620377727199865,13.4
2.7575808248213804,1.5703899772952108,12.1
-0.26254317003059385,-0.36087303505592777,12.1
-1.7005359737621404,-1.3098888381645355,14.2
-1.876554067280472,-1.3829851207726467,13.4
-0.7260890832289506,-0.7191619622280669,13.4
-0.16599247431775338,-0.33333678144038253,13.4
-2.6087779240582654,-1.7370128813010084,12.1
-1.877053383928523,-1.2814488353224611,10.2
-0.8251843779671204,-0.6988285769196468,12.1
-0.7539841757949016,-0.6642767498301636,12.1
-2.152460951026979,-1.51353346235721,30.6
-0.732060939389454,-0.6955111113668679,13.4
2.0278893916382965,1.157170599444161,12.1
-2.161886529646468,-1.4930787764135693,12.1
-2.7021493016355027,-1.7847347590651457,13.4
-1.0665048300475197,-0.8608640730149548,9.4
1.020638756095597,0.5010977372666363,9.6
0.45161223796381444,0.03801094043794196,11.1
-1.343522783477868,-0.7914049340381974,8.9
-0.3212518822668596,-0.4250294620932883,8.9
-2.3837977174386094,-1.6086051749535037,9.0
-0.4512455124337426,-0.42325122093394263,9.0
-2.036495993492165,-1.4712592511374987,9.4
-1.0470496475536752,-0.7432179350258268,9.4
-2.036495993492165,-1.4712592511374987,9.1
-1.2952069080401838,-0.8996435456683127,9.8
-1.1739874901088005,-0.8324738199738745,12.1
-2.1507074690812815,-1.4086712577865432,11.9
2.09823727053908,1.1475285520645118,12.1
-2.071909305454889,-1.4513356305301521,11.1
3.4397301424160194,2.024503437775006,11.9
2.7035419756658254,1.5766013461528023,11.9
-1.8435218382924563,-1.1753724976724298,10.2
-2.500499647336522,-1.7386678334459587,11.3
-1.7581171680206327,-1.132618445152596,10.2
-2.2563682557886042,-1.4525351735957177,12.1
-1.1820705927478206,-0.8634483605703722,11.9
-0.030222971449966725,-0.08099806377688824,11.9
2.09823727053908,1.1475285520645118,12.1
0.4591181378313821,0.06799304730340672,9.8
-0.14820189435212117,-0.3318104855129747,12.1
-1.9455018723026805,-1.3772732806886687,9.1
-0.030222971449966725,-0.08099806377688824,12.1
-2.2563682557886042,-1.4525351735957177,12.1
-2.45355933643589,-1.716980455121529,12.1
-1.7581171680206327,-1.132618445152596,9.8
0.08348520210414385,-0.21529620043206482,10.0
-1.5578669678523749,-1.178010275567587,10.3
-2.1956135936951715,-1.5145045076991708,10.0
0.3274487831094221,-0.01795384076975183,11.1
1.5732514963243378,0.9261408652186732,12.4
-0.27347537910703446,-0.3543965587549276,10.4
2.0480345859094324,1.1300446460963804,10.0
-0.7251941387461178,-0.6715816827098291,12.3
-0.964535440073873,-0.7229270126146822,9.2
-1.7679732422971748,-1.3003643388317816,9.4
0.8394828448348703,0.3623739123156425,9.6
-0.594060227641437,-0.48609200235178585,9.4
1.5844720057973334,0.8252596978750236,9.1
-0.594060227641437,-0.48609200235178585,9.2
-1.1104362161944268,-0.8632336400523897,9.8
-0.30042533202961325,-0.3613445863703559,9.6
-1.2784110303513003,-1.0536733894424146,11.0
-0.7465100050096797,-0.6623543576369506,9.4
-1.0249336985306299,-0.8201779123500573,10.6
-0.41866418017227464,-0.4233649420887028,9.2
-1.0243243655462648,-0.832817129972491,6.6
-0.9825234595141098,-0.7667760130619519,9.2
-1.4062557168943544,-1.1294684462843267,4.9
-0.5002021363921176,-0.4965004224844717,5.9
-0.21333474438740407,-0.250626141733681,6.8
-0.5002021363921176,-0.4965004224844717,6.1
-0.12380427813156022,-0.1415568951728934,9.2
-0.4221881192928499,-0.4044372391461318,9.2
-0.9825234595141098,-0.7667760130619519,9.2
-1.1057401439962034,-0.9672208086338755,9.2
-1.4491612547635564,-1.1431404539940722,9.1
-1.2650273739747313,-0.9063442528972636,9.2
-1.4491612547635564,-1.1431404539940722,9.2
-0.6671706179587553,-0.6053114292090308,11.0
0.7319953915439865,0.24984916888653896,9.2
0.2090895929551708,-0.1382396308389622,10.0
-0.40151821152156303,-0.4956228375732508,9.2
0.12147506015771445,-0.22244207822116896,9.8
-1.3188843537422246,-1.028202616604328,9.2
0.7869607223645957,0.27423296986565315,9.2
0.7712024005692903,0.2225916342142882,9.6
-1.3427961479619017,-0.9301567507714904,9.1
-2.7867155301633804,-1.756237495696303,8.9
-2.5367214302659833,-1.666911647188645,9.0
-0.350070204125793,-0.44270536722197856,9.6
-0.32289436031339674,-0.5005957442159584,9.4
-0.3754652820131378,-0.42977425146045717,10.2
-1.5876334451903455,-1.250410643963044,9.2
-2.0153856702748567,-1.309856399112705,9.2
-0.3212518822668596,-0.4250294620932883,8.9
-0.3212518822668596,-0.4250294620932883,8.9
-2.2614286827278494,-1.3950791834529264,9.0
-1.8984103312270553,-1.2360181901088436,9.4
3.012187896397771,1.7508278184560153,10.0
-1.5876334451903455,-1.250410643963044,9.1
-4.050165893205345,-2.455850074833782,9.1
-2.3095399154750846,-1.4875532258750033,9.1
-1.4900506152585884,-1.1520733147868525,9.2
-0.9025183083103763,-0.7283571655848814,9.2
-2.331991408633323,-1.5382192799205245,9.2
-2.2614286827278494,-1.3950791834529264,9.1
-3.0570522020588764,-1.9763090162506665,8.9
-2.16741736059146,-1.2811131266106215,9.0
-0.3212518822668596,-0.4250294620932883,9.0
2.9785011354255677,1.711509603353025,9.8
0.6299469641223187,0.1882065233803851,9.0
-1.7687902346655957,-1.2922854275073163,8.9
-0.9567077783723142,-0.6400037839383814,10.0
-0.31604693082416035,-0.2953211210482073,12.3
-1.0143039140682097,-0.7970001956859176,12.4
0.26677659980372825,0.10173487719862445,12.0
-0.9479894722293855,-0.7622786262202638,11.9
-0.31604693082416035,-0.2953211210482073,12.1
-0.9479894722293855,-0.7622786262202638,11.7
-0.15625150793496462,-0.3543859803269062,10.5
-0.6405901760470526,-0.618356575267538,9.6
2.1399399353901116,1.1837622725045673,10.5
0.17569279665464707,-0.04312989822375378,14.8
0.6235668973309012,0.162480236837321,14.8
0.5703122189067326,0.13766482029711122,7.0
-1.438307314523517,-0.9487381636195303,8.6
-2.37646167269743,-1.6204764203046629,8.3
-3.3946663951030356,-2.20049731087072,8.0
0.22024854742991798,-0.020508769390508674,7.1
-2.3871595008813364,-1.5075421709741699,8.8
-2.3449648420523035,-1.3110329004449568,8.7
-1.438307314523517,-0.9487381636195303,8.8
-2.4676257705916576,-1.5116027408318484,8.8
-1.6197613664524915,-1.189922309175521,8.8
-1.9710206321699908,-1.2785512572323554,8.9
0.7719432095442017,0.22658377529362944,10.5
0.18220638008093532,0.0008123908579698451,12.1
0.29334128879256915,-0.04016942002757352,9.1
0.8198124926564739,0.34104111215753846,9.8
-1.8822153268956816,-1.2398121500650674,8.9
0.5759956182270594,0.12036634464110928,9.4
-1.2734057016759666,-0.8056038791232286,9.0
-0.7607839874908557,-0.4567327084613676,9.0
-1.8822153268956816,-1.2398121500650674,8.9
-0.7607839874908557,-0.4567327084613676,9.0
0.14515272028351123,-0.06220669154308622,11.0
-0.37752800977414885,-0.07988037319811664,8.8
-2.373551273955442,-1.2310034828132723,8.8
0.11614828491857292,-0.20704922712275212,9.8
-0.7141910563095382,-0.6294062970203436,12.1
0.8612990401517259,0.3883403962691595,11.1
2.9642008336904655,1.7824346371044686,12.3
0.08685196524329243,-0.08621504535676516,12.5
2.4737953438191416,1.558734332955285,13.8
-0.5826139481325834,-0.4740157804757588,9.1
-1.9137838928462865,-1.113062172390314,8.8
-2.3261153472834692,-1.5704896257011856,9.9
0.11461478905637189,-0.20607731121466108,10.2
0.1646721835108451,-0.11223784218989658,10.4
-0.9567077783723142,-0.6400037839383814,10.0
-0.3825775979982805,-0.31522069432743693,9.8
-1.138574329562913,-0.823020830747305,10.2
-0.7479749722030843,-0.5518247867140905,9.8
-0.5339724948660785,-0.5155874354457137,9.6
-0.31625482169744606,-0.3742800159893585,9.1
-2.3261153472834692,-1.5704896257011856,9.4
-3.0134355247315674,-1.952139652935141,8.9
1.8038490705173882,0.9219349149204064,9.4
-0.6088381417942204,0.19112492275897183,2.7
-0.08705895086138042,0.6237050273152842,2.6
-1.1846036105851954,-0.06211630821057495,7.8
2.101552313213214,1.9885008184179849,10.3
-0.1547880229837221,0.43805661684623853,11.7
-2.346410635696677,-0.8844741973598679,12.2
0.01360152277050533,0.6668356802085306,12.3
1.7953245270792613,1.7161050103194757,12.0
-0.6504623577044233,0.1938344484060153,11.5
0.36025182505674824,0.8529173956232604,7.4
-0.5791103869246196,0.2721935648862366,10.5
-0.5791103869246196,0.2721935648862366,11.3
1.0758117399560394,1.356537795541171,14.2
-0.6178223806481962,0.2715777404080505,14.3
-1.5075991257738937,-0.34181302136254477,14.8
-0.22324957344031696,0.36608703704390577,14.1
-1.1256257931170683,-0.12767464520079203,13.4
-1.0315844783665362,-0.06693197604522977,14.6
-2.2017966954123667,-0.7829885651130222,16.1
1.019883266057075,1.308304106212582,18.7
-2.0263257782889985,-0.7132565789455506,14.7
0.13095015616089856,0.6597577038525506,18.0
0.3319230158015621,0.8484328753882545,18.7
-1.4772073286584424,-0.3733130423977406,14.6
-1.8016126864444832,-0.47344367176895374,14.2
-0.44773931638881936,0.270292000812996,14.3
-1.1256257931170683,-0.12767464520079203,13.4
-0.7399033742690123,0.11751205349625435,14.1
-0.7758920007478611,0.1496386735297602,10.2
0.5548279278262253,0.8857273326921922,10.4
0.75742913631555,1.1156635437007216,10.5
0.27808453616218903,0.7573912919467517,10.3
-1.4617090746683152,-0.22000150293552323,10.0
-1.6881996322737305,-0.4456753610380181,11.5
0.323573281767599,0.7891863181367087,8.6
-1.593804445187952,-0.4351670868993247,11.0
-0.3008995234780063,0.4438672562740982,11.4
-1.415879409486939,-0.31948818271106677,16.1
0.31972107304072966,0.8770257320318824,11.3
-0.3008995234780063,0.4438672562740982,11.3
-1.6141678801785289,-0.42074781365346153,4.2
2.8458948187344695,2.505795705736823,14.3
0.407986252280161,0.9443262308413275,9.8
-2.7353392172038133,-0.7739172796663721,9.8
-1.3726157034225601,-0.16317311370132312,14.9
0.0871534342793568,0.6564321725831248,12.5
-0.4714322845190156,0.29481374142385974,15.3
-0.5327618183241812,0.25662765273787197,11.7
-2.145497973480713,-0.8105542016521637,12.5
-1.2219385665123315,-0.2005470270969308,6.3
1.258390279415838,1.3490354776585776,10.6
